Date,PunchCode,WorkType,Hours,NoOfMan,SystemHours,Quantity,ResourceKPI,SystemKPI
2019-08-07,215,215,58.57,7.32125,49.432222,14649.0,250.110978,296.345165
2019-08-08,211,211,93.29,11.66125,33.931388,9887.0,105.981348,291.382126
2019-08-08,214,214,52.42,6.5525,17.252222,18704.0,356.810377,1084.150203
2019-08-09,213,213,20.15,2.51875,0.218888,40.0,1.885856,173.604766
2019-08-12,211,211,104.24,13.03,31.910555,8479.0,81.341135,265.711455
2019-08-12,214,214,40.18,5.0225,29.2675,23513.0,585.191637,803.382591
2019-08-13,213,213,27.33,3.41625,0.1825,70.0,1.609952,241.09589
2019-08-14,209,209,89.95,11.24375,58.1325,22110.0,245.803224,380.33802
2019-08-14,215,215,80.66,10.0825,49.978333,12472.0,154.624349,249.548139
2019-08-15,211,211,102.37,12.79625,51.782777,9893.0,96.63964,191.048077
2019-08-15,214,214,67.9,8.4875,32.946666,38678.0,569.631811,1173.957935
2019-08-16,209,209,71.84,8.98,46.255277,18402.0,256.152561,397.835689
2019-08-16,215,215,60.33,7.54125,44.139722,11936.0,197.845184,270.414027
2019-08-17,211,211,73.16,9.145,13.280277,3013.0,41.183706,226.877797
2019-08-17,214,214,24.18,3.0225,18.706388,20539.0,849.421009,1097.967175
2019-08-19,209,209,57.09,7.13625,49.311388,18674.0,327.097565,378.695485
2019-08-19,215,215,82.89,10.36125,65.548611,20510.0,247.436361,312.897553
2019-08-20,213,213,62.43,7.80375,0.441666,56.0,0.897005,126.792644
2019-08-21,215,215,95.69,11.96125,58.094722,15481.0,161.78284,266.478596
2019-08-22,215,215,90.49,11.31125,61.5175,16844.0,186.142115,273.808265
2019-08-23,211,211,118.3,14.7875,60.894166,10038.0,84.852071,164.843377
2019-08-23,214,214,65.28,8.16,41.229722,49284.0,754.963235,1195.351256
2019-08-24,213,213,67.43,8.42875,0.0,2.0,0.01483,0.0
2019-08-26,213,213,43.3,5.4125,0.478611,125.0,2.886836,261.172434
2019-08-27,209,209,87.33,10.91625,77.713055,22805.0,261.135921,293.451338
2019-08-27,215,215,87.72,10.965,50.9775,15858.0,180.779753,311.078416
2019-08-28,211,211,174.38,21.7975,74.635277,9227.0,52.913178,123.627865
2019-08-28,214,214,37.76,4.72,22.053333,29903.0,791.922669,1355.940165
2019-08-29,213,213,65.84,8.23,0.315,76.0,1.139125,238.095238
2019-08-30,211,211,133.32,16.665,58.308611,5843.0,43.826882,100.208183
2019-08-30,214,214,55.72,6.965,24.588055,16885.0,303.033022,686.715561
2019-09-02,215,215,74.54,9.3175,75.673611,22951.0,307.901797,303.289346
2019-09-03,213,213,59.39,7.42375,0.868611,150.0,2.525678,172.689501
2019-09-04,214,214,61.18,7.6475,28.6725,19297.0,315.413533,673.014212
2019-09-05,213,213,75.12,9.39,0.553611,84.0,1.091587,148.118444
2019-09-06,214,214,50.85,6.35625,31.6425,26094.0,513.156342,824.650391
2019-07-02,209,209,70.52,8.815,45.037222,12515.0,177.467385,277.88126
2019-07-02,215,215,46.58,5.8225,41.981388,10618.0,227.95191,252.921604
2019-07-03,213,213,45.28,5.66,0.056944,17.0,0.375442,298.538915
2019-07-04,213,213,20.91,2.61375,0.008055,8.0,0.382592,993.171943
2019-07-05,211,211,78.3,9.7875,22.431944,6643.0,84.840357,296.140182
2019-07-05,214,214,47.78,5.9725,29.167777,30301.0,634.17748,1038.85188
2019-07-08,209,209,79.29,9.91125,57.717777,25674.0,323.798713,444.819626
2019-07-08,215,215,64.79,8.09875,55.6625,15956.0,246.272572,286.656186
2019-07-09,213,213,64.19,8.02375,0.076944,10.0,0.155788,129.96465
2019-07-10,211,211,91.26,11.4075,48.682222,6314.0,69.186938,129.69827
2019-07-10,214,214,70.63,8.82875,44.996111,79354.0,1123.516919,1763.574634
2019-07-11,209,209,96.16,12.02,90.505,31921.0,331.957154,352.698745
2019-07-12,211,211,120.71,15.08875,46.714444,23673.0,196.114654,506.75975
2019-07-12,214,214,31.57,3.94625,15.228611,17069.0,540.671523,1120.850746
2019-07-15,213,213,8.3,1.0375,0.076388,27.0,3.253012,353.458658
2019-07-16,213,213,5.45,0.68125,0.015555,17.0,3.119266,1092.896175
2019-07-17,214,214,58.3,7.2875,35.601666,51384.0,881.372212,1443.303243
2019-07-18,211,211,65.29,8.16125,29.881111,3880.0,59.427171,129.847916
2019-07-18,214,214,70.41,8.80125,28.983888,51070.0,725.323107,1762.013433
2019-07-19,215,215,29.45,3.68125,19.409444,5926.0,201.22241,305.315288
2019-07-22,209,209,54.58,6.8225,35.812777,11609.0,212.696958,324.158051
2019-07-22,215,215,57.16,7.145,46.123333,10340.0,180.895731,224.181543
2019-07-23,213,213,11.58,1.4475,0.430833,12.0,1.036269,27.85302
2019-07-24,213,213,7.75,0.96875,0.0675,7.0,0.903226,103.703704
2019-07-25,211,211,73.84,9.23,9.733888,3035.0,41.102383,311.7973
2019-07-25,214,214,40.07,5.00875,23.814444,40664.0,1014.824057,1707.535141
2019-07-26,214,214,37.08,4.635,25.568333,37048.0,999.137001,1448.979876
2019-07-29,213,213,6.23,0.77875,0.131388,19.0,3.049759,144.609858
2019-07-30,213,213,41.45,5.18125,0.259722,17.0,0.410133,65.454601
2019-07-31,211,211,67.21,8.40125,55.910277,7019.0,104.433864,125.540426
2019-08-01,211,211,55.12,6.89,10.875,4094.0,74.27431,376.45977
2019-08-01,214,214,51.33,6.41625,27.536666,103699.0,2020.241574,3765.851682
2019-08-02,211,211,58.32,7.29,15.726388,4830.0,82.81893,307.127103
2019-08-02,214,214,38.1,4.7625,12.765833,32846.0,862.099737,2572.961748
2019-08-05,211,211,57.51,7.18875,17.224444,6280.0,109.1984,364.598125
2019-08-05,215,215,78.42,9.8025,65.6075,18432.0,235.042081,280.943489
2019-08-06,209,209,41.3,5.1625,32.395555,9362.0,226.682808,288.990264
2019-08-07,211,211,79.52,9.94,51.866944,8734.0,109.834004,168.392415
2019-08-09,209,209,62.94,7.8675,34.987777,20268.0,322.020972,579.288018
2019-08-12,213,213,39.23,4.90375,0.559166,94.0,2.319653,162.74237
2019-08-13,209,209,88.34,11.0425,67.655277,29218.0,330.744849,431.865795
2019-08-13,215,215,75.39,9.42375,63.527777,17693.0,234.686297,278.508092
2019-08-14,211,211,109.14,13.6425,36.498611,18746.0,171.76104,513.608586
2019-08-14,214,214,55.0,6.875,24.108333,31981.0,581.472727,1326.553768
2019-08-16,211,211,114.2,14.275,108.559444,9477.0,82.985989,87.297794
2019-08-16,214,214,36.37,4.54625,14.316944,24951.0,686.032444,1742.760186
2019-08-17,213,213,13.03,1.62875,0.015833,3.0,0.230238,189.477673
2019-08-19,211,211,72.51,9.06375,35.210833,5275.0,72.748586,149.811849
2019-08-20,209,209,64.04,8.005,77.332222,25725.0,401.702061,332.655642
2019-08-21,211,211,132.7,16.5875,129.340277,13148.0,99.080633,101.654336
2019-08-21,214,214,78.33,9.79125,35.657222,34757.0,443.725264,974.753445
2019-08-22,211,211,105.32,13.165,33.515277,8509.0,80.791872,253.884221
2019-08-22,214,214,76.13,9.51625,44.3025,32048.0,420.96414,723.390327
2019-08-23,213,213,63.33,7.91625,0.279722,37.0,0.584241,132.274187
2019-08-26,209,209,69.33,8.66625,64.698611,26089.0,376.301745,403.23895
2019-08-26,215,215,97.3,12.1625,69.011111,21764.0,223.679342,315.369506
2019-08-27,211,211,167.24,20.905,79.775833,10188.0,60.91844,127.707848
2019-08-27,214,214,55.84,6.98,32.561944,21272.0,380.945558,653.277949
2019-08-28,213,213,42.78,5.3475,1.743333,106.0,2.477793,60.803071
2019-08-29,209,209,84.68,10.585,54.904722,22581.0,266.66273,411.276101
2019-09-02,211,211,118.01,14.75125,54.234722,7436.0,63.011609,137.107736
2019-09-02,214,214,60.9,7.6125,33.496666,25063.0,411.543513,748.223718
2019-09-03,209,209,79.2,9.9,67.935555,22402.0,282.853535,329.75369
2019-09-03,215,215,80.34,10.0425,54.233888,14452.0,179.885486,266.475455
2019-09-04,213,213,53.37,6.67125,1.206944,116.0,2.136031,94.453429
2019-09-05,209,209,82.08,10.26,51.265833,20575.0,250.670077,401.339426
2019-09-05,215,215,79.01,9.87625,65.286111,24050.0,304.391849,368.378505
2019-09-06,213,213,56.25,7.03125,0.203333,59.0,1.031111,285.246369
2019-09-09,209,209,76.27,9.53375,57.590277,27412.0,359.407368,475.983124
2019-09-10,213,213,49.57,6.19625,0.4525,68.0,1.149889,125.966851
2019-09-11,209,209,87.86,10.9825,49.924722,21598.0,245.8229,432.611322
2019-09-11,215,215,65.39,8.17375,48.898888,17316.0,264.811133,354.118482
2019-07-01,209,209,49.62,6.2025,63.028333,17324.0,349.133413,274.860513
2019-07-01,215,215,54.97,6.87125,53.691388,12498.0,227.360378,232.77476
2019-07-03,211,211,102.4,12.8,37.046944,4422.0,43.183593,119.362072
2019-07-04,215,215,33.3,4.1625,37.142222,9423.0,282.972972,253.700492
2019-07-05,213,213,17.47,2.18375,0.101111,15.0,0.858615,148.351811
2019-07-08,214,214,36.45,4.55625,13.891111,15109.0,414.513031,1087.67398
2019-07-09,211,211,77.19,9.64875,24.314444,4657.0,60.331649,191.532243
2019-07-10,213,213,69.26,8.6575,0.083888,7.0,0.101068,83.444593
2019-07-11,211,211,130.56,16.32,85.900277,17457.0,133.708639,203.224024
2019-07-11,214,214,46.93,5.86625,19.462222,13421.0,285.979117,689.59238
2019-07-12,209,209,99.13,12.39125,45.942777,13176.0,132.916372,286.791545
2019-07-15,215,215,50.75,6.34375,46.874444,12754.0,251.310344,272.08856
2019-07-16,211,211,116.28,14.535,52.149444,11727.0,100.851393,224.872963
2019-07-16,214,214,57.53,7.19125,36.18,57116.0,992.803754,1578.662244
2019-07-17,209,209,72.23,9.02875,40.619722,18353.0,254.091097,451.824854
2019-07-17,215,215,53.05,6.63125,35.6,9289.0,175.098963,260.926966
2019-07-18,209,209,53.23,6.65375,32.475833,12509.0,234.99906,385.178726
2019-07-19,213,213,11.18,1.3975,0.071666,12.0,1.073345,167.443418
2019-07-20,214,214,86.9,10.8625,42.741944,95822.0,1102.669735,2241.87276
2019-07-23,211,211,60.85,7.60625,21.428611,3074.0,50.517666,143.453068
2019-07-23,214,214,64.99,8.12375,30.605,96802.0,1489.49069,3162.94723
2019-07-24,215,215,40.01,5.00125,26.608055,7189.0,179.680079,270.181341
2019-07-25,209,209,47.24,5.905,29.075,9267.0,196.168501,318.727429
2019-07-26,209,209,40.57,5.07125,24.258055,8827.0,217.574562,363.879132
2019-07-26,215,215,23.91,2.98875,22.888888,8308.0,347.469677,362.970887
2019-07-29,211,211,72.23,9.02875,34.101388,4366.0,60.445798,128.029979
2019-07-30,215,215,57.25,7.15625,39.980555,14174.0,247.580786,354.522342
2019-07-31,213,213,30.09,3.76125,0.0825,15.0,0.498504,181.818182
2019-08-01,209,209,46.28,5.785,35.111666,12351.0,266.87554,351.763428
2019-08-02,213,213,15.97,1.99625,0.077777,17.0,1.064496,218.573614
2019-08-05,213,213,17.2,2.15,0.720555,50.0,2.848837,68.003136
2019-08-06,211,211,71.05,8.88125,18.967222,5431.0,76.439127,286.33608
2019-08-06,214,214,55.92,6.99,31.692777,21021.0,375.912017,663.274158
2019-08-07,213,213,18.93,2.36625,0.247777,42.0,2.2187,169.507259
2019-08-08,209,209,37.23,4.65375,38.035555,12134.0,325.919957,319.017298
2019-08-08,215,215,56.65,7.08125,36.111388,9415.0,166.195939,260.721077
2019-08-09,211,211,109.04,13.63,81.251388,9516.0,87.270726,117.117999
2019-08-09,214,214,44.7,5.5875,15.525277,26338.0,589.217002,1696.459264
2019-08-12,215,215,52.09,6.51125,62.841111,16427.0,315.358034,261.405308
2019-08-13,214,214,65.2,8.15,23.371666,23906.0,366.656441,1022.862469
2019-08-14,213,213,35.34,4.4175,1.075277,85.0,1.980758,65.099505
2019-08-15,209,209,76.1,9.5125,42.486944,21130.0,277.660972,497.32925
2019-08-15,215,215,74.09,9.26125,53.9775,13718.0,185.153192,254.142929
2019-08-16,213,213,36.4,4.55,0.165833,46.0,1.263736,277.387492
2019-08-17,215,215,0.0,0.0,3.546666,644.0,0.0,181.578981
2019-08-19,213,213,42.35,5.29375,2.758055,103.0,2.432113,37.345158
2019-08-20,211,211,89.77,11.22125,39.631666,10969.0,122.190041,276.773628
2019-08-20,214,214,82.15,10.26875,44.791111,39337.0,478.843578,878.23229
2019-08-21,209,209,83.45,10.43125,56.451666,17539.0,210.173756,310.690564
2019-08-22,209,209,68.42,8.5525,43.4975,16314.0,238.439052,375.056037
2019-08-23,215,215,76.95,9.61875,50.71,11174.0,145.211176,220.351015
2019-08-24,211,211,34.97,4.37125,19.373611,2968.0,84.872748,153.198079
2019-08-24,214,214,34.28,4.285,11.678333,18320.0,534.422403,1568.717042
2019-08-26,214,214,56.83,7.10375,28.381944,22989.0,404.522259,809.9868
2019-08-27,213,213,61.41,7.67625,0.403333,99.0,1.595831,242.975407
2019-08-28,215,215,77.17,9.64625,54.476111,18545.0,240.313593,340.424447
2019-08-29,211,211,143.37,17.92125,65.592222,5444.0,37.971681,82.997645
2019-08-29,214,214,52.94,6.6175,29.833055,23817.0,449.886664,798.342643
2019-08-30,209,209,43.65,5.45625,34.858888,12393.0,283.917525,355.519085
2019-08-30,215,215,50.73,6.34125,49.102777,14137.0,278.671397,287.906323
2019-09-02,209,209,92.1,11.5125,59.964166,24935.0,270.738327,415.831681
2019-09-04,211,211,102.28,12.785,67.578888,10855.0,106.13023,160.627088
2019-09-06,211,211,110.85,13.85625,98.969444,11906.0,107.406405,120.299756
2019-09-09,211,211,53.5,6.6875,27.863055,4461.0,83.383177,160.104482
2019-09-09,214,214,36.32,4.54,26.8425,29038.0,799.504405,1081.791934
2019-09-10,215,215,71.5,8.9375,59.396111,20331.0,284.34965,342.295137
2019-09-12,211,211,87.15,10.89375,37.491666,5880.0,67.469879,156.834854
2019-09-13,209,209,62.94,7.8675,42.872222,19682.0,312.710517,459.085139
2019-09-16,213,213,38.73,4.84125,0.654166,77.0,1.652466,97.834495
2019-09-17,211,211,89.27,11.15875,45.541666,7401.0,82.905791,162.510523
2019-09-17,214,214,63.27,7.90875,33.393888,31119.0,491.844476,931.877114
2019-09-18,209,209,102.94,12.8675,48.281944,15331.0,148.931416,317.53071
2019-07-01,213,213,30.01,3.75125,0.116666,15.0,0.499833,128.572163
2019-07-02,211,211,74.85,9.35625,25.684722,4796.0,64.074816,186.725789
2019-07-02,214,214,60.7,7.5875,37.734444,29217.0,481.334431,774.279329
2019-07-03,209,209,65.02,8.1275,67.584722,25109.0,386.173485,371.518876
2019-07-03,215,215,55.93,6.99125,56.579166,15369.0,274.789915,271.637089
2019-07-04,209,209,40.12,5.015,35.457222,11277.0,281.081754,318.04522
2019-07-08,211,211,73.39,9.17375,39.126111,5756.0,78.430303,147.114033
2019-07-09,209,209,58.61,7.32625,44.914166,13016.0,222.078143,289.79721
2019-07-09,215,215,55.0,6.875,42.810833,11252.0,204.581818,262.830671
2019-07-11,215,215,27.99,3.49875,33.337222,9275.0,331.368345,278.217543
2019-07-12,213,213,20.18,2.5225,0.015555,6.0,0.297324,385.728062
2019-07-13,211,211,176.15,22.01875,68.366666,49387.0,280.369003,722.384209
2019-07-14,211,211,0.0,0.0,0.113333,94.0,0.0,829.414204
2019-07-15,209,209,70.19,8.77375,70.601111,19082.0,271.862088,270.279032
2019-07-16,209,209,70.14,8.7675,59.259444,19259.0,274.579412,324.994611
2019-07-16,215,215,53.05,6.63125,38.506388,11459.0,216.00377,297.586987
2019-07-17,213,213,11.05,1.38125,0.081111,8.0,0.723982,98.630272
2019-07-18,213,213,11.32,1.415,0.018611,4.0,0.353357,214.926656
2019-07-19,211,211,63.81,7.97625,12.196111,2765.0,43.331766,226.711613
2019-07-19,214,214,66.66,8.3325,36.666388,73839.0,1107.695769,2013.806214
2019-07-22,211,211,108.33,13.54125,26.629722,3158.0,29.151666,118.589296
2019-07-22,214,214,64.47,8.05875,31.280833,49991.0,775.414921,1598.13519
2019-07-23,209,209,52.54,6.5675,42.314722,11429.0,217.529501,270.095121
2019-07-23,215,215,41.78,5.2225,32.759444,9013.0,215.725227,275.126769
2019-07-24,209,209,118.08,14.76,78.170833,27679.0,234.408875,354.083472
2019-07-25,213,213,10.47,1.30875,0.033333,5.0,0.477555,150.0015
2019-07-26,213,213,5.65,0.70625,0.007777,7.0,1.238938,900.090009
2019-07-29,209,209,49.03,6.12875,43.080555,14665.0,299.10259,340.408799
2019-07-29,215,215,56.17,7.02125,47.496111,12714.0,226.348584,267.685074
2019-07-30,209,209,48.96,6.12,42.338333,15207.0,310.60049,359.178052
2019-07-31,214,214,49.22,6.1525,34.1675,38761.0,787.505079,1134.440623
2019-08-01,213,213,26.06,3.2575,0.1175,16.0,0.613968,136.170213
2019-08-05,214,214,55.62,6.9525,20.415555,15706.0,282.380438,769.315357
2019-08-06,215,215,75.26,9.4075,56.633888,14581.0,193.741695,257.460692
2019-08-07,214,214,39.51,4.93875,14.051388,16976.0,429.663376,1208.136875
2019-08-08,213,213,25.73,3.21625,0.1175,24.0,0.932763,204.255319
2019-08-09,215,215,49.06,6.1325,44.515,12228.0,249.245821,274.693923
2019-08-12,209,209,68.51,8.56375,48.602777,21473.0,313.428696,441.80603
2019-08-13,211,211,96.29,12.03625,50.678333,8161.0,84.754387,161.035288
2019-08-15,213,213,50.65,6.33125,0.665277,46.0,0.908193,69.144131
2019-08-19,214,214,63.9,7.9875,37.058611,50761.0,794.381846,1369.749125
2019-08-20,215,215,103.48,12.935,67.4125,23239.0,224.574797,344.728351
2019-08-21,213,213,48.28,6.035,0.4275,69.0,1.387738,156.725146
2019-08-22,213,213,32.39,4.04875,0.613611,66.0,2.037666,107.560001
2019-08-23,209,209,72.95,9.11875,37.546388,22999.0,315.270733,612.548935
2019-08-26,211,211,134.39,16.79875,99.405,11149.0,82.960041,112.157336
2019-08-28,209,209,105.78,13.2225,64.795,27948.0,264.208735,431.329577
2019-08-29,215,215,69.73,8.71625,51.441111,14213.0,203.829054,276.29652
2019-08-30,213,213,80.18,10.0225,2.927777,56.0,0.698429,19.12714
2019-09-02,213,213,36.96,4.62,1.021111,177.0,4.464286,161.588701
2019-09-03,211,211,105.66,13.2075,67.459722,11273.0,106.691273,167.107122
2019-09-03,214,214,73.18,9.1475,38.320277,37501.0,512.448756,978.620274
2019-09-04,209,209,77.61,9.70125,64.653333,25824.0,332.740626,399.422563
2019-09-04,215,215,61.83,7.72875,50.558055,16754.0,270.968785,331.381418
2019-09-05,211,211,69.22,8.6525,48.1425,5263.0,76.032938,109.321285
2019-09-05,214,214,74.09,9.26125,41.085277,42681.0,576.069645,1038.83929
2019-09-06,209,209,56.22,7.0275,36.407222,13032.0,231.803628,357.950958
2019-09-06,215,215,63.92,7.99,51.028888,15492.0,242.365456,303.592741
2019-09-09,215,215,86.45,10.80625,62.331944,22877.0,264.626951,367.018875
2019-09-10,209,209,92.26,11.5325,74.776111,33591.0,364.090613,449.221008
2019-09-11,211,211,81.5,10.1875,56.663888,8657.0,106.220858,152.778079
2019-09-11,214,214,55.85,6.98125,42.0,48495.0,868.307967,1154.642857
2019-09-12,209,209,55.7,6.9625,50.635277,20954.0,376.193895,413.822165
2019-09-12,215,215,52.32,6.54,52.912777,14212.0,271.636085,268.592971
2019-09-13,213,213,26.79,3.34875,0.128611,31.0,1.157148,241.036925
2019-09-14,211,211,77.26,9.6575,23.6675,2463.0,31.879368,104.066758
2019-09-14,214,214,34.8,4.35,14.997222,33858.0,972.931034,2257.61811
2019-09-16,211,211,90.5,11.3125,48.440833,4548.0,50.254143,93.887733
2019-09-16,214,214,51.8,6.475,31.631388,49244.0,950.65637,1556.808066
2019-09-17,209,209,101.7,12.7125,85.283055,26989.0,265.378564,316.463803
2019-09-17,215,215,88.23,11.02875,54.733333,18604.0,210.857984,339.902559
2019-09-18,213,213,27.53,3.44125,0.220277,40.0,1.380312,172.510067
2019-09-18,215,215,69.23,8.65375,62.288333,18364.0,265.260725,294.822466
2019-09-19,213,213,44.09,5.51125,0.065277,18.0,0.408256,275.747966
2019-09-20,213,213,32.14,4.0175,0.101666,22.0,0.684505,216.394862
2019-09-23,213,213,24.15,3.01875,0.284444,59.0,2.360248,200.390938
2019-09-24,211,211,117.99,14.74875,56.658055,8918.0,75.582676,157.40039
2019-09-24,214,214,63.72,7.965,61.274722,78569.0,1233.035153,1282.241639
2019-09-25,213,213,27.75,3.46875,0.174166,38.0,1.333333,212.441005
2019-09-26,211,211,69.07,8.63375,50.511111,4664.0,67.525698,92.336119
2019-09-26,214,214,69.81,8.72625,50.386111,45310.0,649.047414,899.255749
2019-09-27,209,209,57.78,7.2225,39.402777,14163.0,245.119418,359.44167
2019-09-27,215,215,87.83,10.97875,62.5975,18939.0,215.632471,302.552018
2019-09-30,214,214,34.06,4.2575,27.7,87230.0,2561.068702,3149.097472
2019-10-01,209,209,96.76,12.095,75.004722,23665.0,244.574204,315.513468
2019-10-01,215,215,105.43,13.17875,59.650277,19019.0,180.394574,318.841771
2019-10-02,209,209,57.67,7.20875,54.348055,18554.0,321.727067,341.392162
2019-10-02,215,215,60.48,7.56,44.875555,16083.0,265.922619,358.39111
2019-10-03,213,213,32.1,4.0125,0.258333,35.0,1.090343,135.484046
2019-10-05,211,211,9.1,1.1375,2.430277,72.0,7.912087,29.626252
2019-10-07,209,209,123.51,15.43875,51.864722,21506.0,174.123552,414.655649
2019-10-08,211,211,110.78,13.8475,90.081944,9996.0,90.232894,110.965633
2019-10-08,214,214,62.67,7.83375,42.182777,29406.0,469.219722,697.109154
2019-10-09,209,209,74.57,9.32125,40.275277,18784.0,251.897545,466.390336
2019-10-09,215,215,67.9,8.4875,53.267222,19978.0,294.226804,375.05241
2019-10-10,214,214,51.85,6.48125,26.048611,29161.0,562.4108,1119.483875
2019-10-11,213,213,18.41,2.30125,0.733611,30.0,1.466594,36.804246
2019-10-13,211,211,62.78,7.8475,2.504166,403.0,6.419241,160.931823
2019-10-14,215,215,53.2,6.65,42.489166,16619.0,312.387218,391.135001
2019-10-15,209,209,95.48,11.935,77.1475,33108.0,346.753246,429.151949
2019-10-16,213,213,20.37,2.54625,0.221944,37.0,1.767305,162.203078
2019-10-17,214,214,46.62,5.8275,24.041666,19550.0,419.347919,813.171599
2019-10-18,209,209,65.54,8.1925,38.164166,14724.0,224.656698,385.806937
2019-10-18,215,215,51.16,6.395,32.422777,12667.0,247.595777,390.682142
2019-10-21,211,211,100.04,12.505,61.473333,5422.0,54.19832,88.200846
2019-10-21,214,214,56.4,7.05,36.4,21743.0,385.514184,597.335164
2019-10-22,211,211,100.43,12.55375,48.763055,10000.0,99.571841,205.073287
2019-10-22,214,214,61.3,7.6625,41.900833,35924.0,586.035889,857.357656
2019-10-23,209,209,91.09,11.38625,40.299166,15172.0,166.560544,376.484218
2019-10-23,215,215,55.12,6.89,45.415833,11841.0,214.822206,260.724051
2019-10-24,209,209,59.88,7.485,32.3875,12211.0,203.924515,377.028174
2019-10-25,213,213,16.46,2.0575,0.001111,7.0,0.121507,1800.180018
2019-10-27,215,215,0.0,0.0,3.035277,1427.0,0.0,470.13831
2019-10-28,213,213,28.2,3.525,0.988055,64.0,2.269504,64.773722
2019-10-29,211,211,144.33,18.04125,38.098611,8952.0,62.024527,234.969196
2019-10-29,214,214,52.62,6.5775,24.290833,39616.0,752.869631,1630.903312
2019-10-30,213,213,16.5,2.0625,0.818055,59.0,2.909091,58.675761
2019-10-31,213,213,35.52,4.44,0.137777,25.0,0.703829,181.452637
2019-11-01,211,211,74.0,9.25,26.166666,10595.0,143.175675,404.904468
2019-11-01,214,214,47.05,5.88125,31.279166,16859.0,358.320935,538.984958
2019-11-03,215,215,0.0,0.0,0.17,38.0,0.0,223.529411
2019-11-04,209,209,113.9,14.2375,56.085277,20407.0,179.165935,363.856632
2019-11-05,213,213,31.7,3.9625,0.441111,77.0,2.429022,174.559238
2019-11-06,211,211,107.42,13.4275,54.421111,17005.0,158.303854,312.470651
2019-11-06,214,214,42.27,5.28375,27.436111,74144.0,1754.057251,2702.423823
2019-11-07,209,209,49.49,6.18625,36.459722,11324.0,228.813901,310.589312
2019-11-07,215,215,45.05,5.63125,29.925,11564.0,256.692563,386.432748
2019-11-08,213,213,18.15,2.26875,0.130833,34.0,1.763085,244.58661
2019-11-09,211,211,0.0,0.0,0.112777,6.0,0.0,53.202337
2019-11-11,209,209,74.41,9.30125,66.108333,24091.0,323.760247,364.416994
2019-11-11,215,215,79.01,9.87625,60.265833,22710.0,287.43197,376.830433
2019-11-12,213,213,26.7,3.3375,0.145277,33.0,1.198502,220.268866
2019-11-13,209,209,76.22,9.5275,32.509166,12785.0,167.738126,393.2737
2019-11-15,211,211,89.97,11.24625,28.118611,6455.0,71.746137,229.563259
